seed,ifile_name,ifile_number,tpsExtermination,radiusInfestMax,SdM,SdC,SaM,SaC,deltaSa,deltaSd,actionManager,actionController,diffRisqueGlobal,infecteTotal,infecteVariete1,infecteVariete2
286720255,polygon_gem10_rep,5.0,180.0,8.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
-1571691872,polygon_gem1000_rep,5.0,30.0,8.0,0.30000000000000004,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
-511319300,polygon_gem1000_rep,5.0,30.0,8.0,0.30000000000000004,0.1,0.30000000000000004,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
1653734905,polygon_gem1000_rep,5.0,30.0,8.0,0.30000000000000004,0.1,0.30000000000000004,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
-1878561216,polygon_gem1000_rep,5.0,30.0,8.0,0.30000000000000004,0.1,0.30000000000000004,0.2,0.1,0.05,true,true,0.5,0.5018,0.3393782383419689,0.518333997608609
1700244805,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.4,0.2,0.0,0.05,true,true,0.5,0.0,0.0,0.0
1569880901,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.4,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
1395201633,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.1,true,true,0.5,0.0,0.0,0.0
21094975,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.05,true,true,0.5,0.0,0.0,0.0
1423055003,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.1,0.0,true,true,0.5,0.0,0.0,0.0
248962970,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.1,true,true,0.5,0.0,0.0,0.0
-1838098748,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.05,true,true,0.5,0.0,0.0,0.0
1834532066,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.05,0.0,true,true,0.5,0.0,0.0,0.0
-61290469,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.1,true,true,0.5,0.0,0.0,0.0
1088333043,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.05,true,true,0.5,0.006,0.26666666666666666,0.7
1596214618,polygon_gem1000_rep,3.0,30.0,4.0,0.2,0.1,0.30000000000000004,0.2,0.0,0.0,true,true,0.5,0.0,0.0,0.0
